Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.76585366,77.46585366
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9,8.2
Armenia,ARM,"Population ages 15-64, female",SP.POP.1564.FE.IN,1067803,1062433
Armenia,ARM,"Population ages 15-64, male",SP.POP.1564.MA.IN,928161,930870
Armenia,ARM,"Population ages 0-14, female",SP.POP.0014.FE.IN,283673,278647
Armenia,ARM,"Population ages 0-14, male",SP.POP.0014.MA.IN,306087,300735
Armenia,ARM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,242889,248149
Armenia,ARM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,140588,143466
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1541,1602
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,758,795
Aruba,ABW,"Population, total",SP.POP.TOTL,107310,107359
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.226,76.353
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.191,7.582
Aruba,ABW,"Population ages 15-64, female",SP.POP.1564.FE.IN,37729,37473
Aruba,ABW,"Population ages 15-64, male",SP.POP.1564.MA.IN,33906,33862
Aruba,ABW,"Population ages 0-14, female",SP.POP.0014.FE.IN,9231,9044
Aruba,ABW,"Population ages 0-14, male",SP.POP.0014.MA.IN,9596,9406
Aruba,ABW,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,9692,10135
Aruba,ABW,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,7156,7438
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,641262,668043
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,476252,499057
Australia,AUS,"Population, total",SP.POP.TOTL,26018721,26659922
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.2,83.05121951
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3,6.9
Australia,AUS,"Population ages 15-64, female",SP.POP.1564.FE.IN,8436235,8624432
Australia,AUS,"Population ages 15-64, male",SP.POP.1564.MA.IN,8395127,8594063
Australia,AUS,"Population ages 0-14, female",SP.POP.0014.FE.IN,2305693,2336463
Australia,AUS,"Population ages 0-14, male",SP.POP.0014.MA.IN,2438962,2470396
Australia,AUS,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,2366759,2471777
Australia,AUS,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2075946,2162790
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,337902,346111
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,209403,215573
Austria,AUT,"Population, total",SP.POP.TOTL,9041851,9131761
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.29512195,81.54146341
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3,9.8
Austria,AUT,"Population ages 15-64, female",SP.POP.1564.FE.IN,2954468,2967936
Austria,AUT,"Population ages 15-64, male",SP.POP.1564.MA.IN,3000865,3016413
Austria,AUT,"Population ages 0-14, female",SP.POP.0014.FE.IN,630013,634439
Austria,AUT,"Population ages 0-14, male",SP.POP.0014.MA.IN,667145,671643
Austria,AUT,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,1007905,1034695
Austria,AUT,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,781455,806635
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,85185,81782
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,41055,39293
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10141756,10153958
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.125,74.429
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6,5.9
Azerbaijan,AZE,"Population ages 15-64, female",SP.POP.1564.FE.IN,3629401,3625453
Azerbaijan,AZE,"Population ages 15-64, male",SP.POP.1564.MA.IN,3436957,3446272
Azerbaijan,AZE,"Population ages 0-14, female",SP.POP.0014.FE.IN,1095235,1074715
Azerbaijan,AZE,"Population ages 0-14, male",SP.POP.0014.MA.IN,1216843,1194130
Azerbaijan,AZE,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,450540,478296
Azerbaijan,AZE,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,312781,335092
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,6363,6684
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,3989,4155
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,397538,399440
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.491,74.552
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.558,8.713
"Bahamas, The",BHS,"Population ages 15-64, female",SP.POP.1564.FE.IN,144735,145869
"Bahamas, The",BHS,"Population ages 15-64, male",SP.POP.1564.MA.IN,133528,134433
"Bahamas, The",BHS,"Population ages 0-14, female",SP.POP.0014.FE.IN,36843,36177
"Bahamas, The",BHS,"Population ages 0-14, male",SP.POP.0014.MA.IN,37701,37034
"Bahamas, The",BHS,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,25717,26485
"Bahamas, The",BHS,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,19014,19443
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4259,4636
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,4071,4436
Bahrain,BHR,"Population, total",SP.POP.TOTL,1524693,1577059
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.992,81.284
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.094,2.089
Bahrain,BHR,"Population ages 15-64, female",SP.POP.1564.FE.IN,412022,424059
Bahrain,BHR,"Population ages 15-64, male",SP.POP.1564.MA.IN,768427,796113
Bahrain,BHR,"Population ages 0-14, female",SP.POP.0014.FE.IN,142631,146811
Bahrain,BHR,"Population ages 0-14, male",SP.POP.0014.MA.IN,148264,152702
Bahrain,BHR,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,25143,27203
Bahrain,BHR,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,28205,30170
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,935747,1004294
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,710345,766154
Bangladesh,BGD,"Population, total",SP.POP.TOTL,169384897,171466990
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.265,74.672
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.037,5.01
Bangladesh,BGD,"Population ages 15-64, female",SP.POP.1564.FE.IN,57115062,58068002
Bangladesh,BGD,"Population ages 15-64, male",SP.POP.1564.MA.IN,53145617,53931784
